file,gender,race
train/1.jpg,Male,East Asian
train/2.jpg,Female,Indian
train/3.jpg,Female,Black
train/4.jpg,Female,Indian
train/5.jpg,Female,Indian
train/6.jpg,Male,White
train/7.jpg,Male,Middle Eastern
train/8.jpg,Female,Indian
train/9.jpg,Male,White
train/10.jpg,Male,Middle Eastern
train/11.jpg,Male,East Asian
train/12.jpg,Male,East Asian
train/13.jpg,Male,Latino_Hispanic
train/14.jpg,Male,Indian
train/15.jpg,Female,Indian
train/16.jpg,Female,White
train/17.jpg,Female,Southeast Asian
train/18.jpg,Male,Southeast Asian
train/19.jpg,Female,Black
train/20.jpg,Male,Southeast Asian
train/21.jpg,Female,Indian
train/22.jpg,Female,Middle Eastern
train/23.jpg,Female,Black
train/24.jpg,Female,White
train/25.jpg,Female,White
train/26.jpg,Female,Black
train/27.jpg,Female,White
train/28.jpg,Female,White
train/29.jpg,Male,Indian
train/30.jpg,Female,Black
train/31.jpg,Female,Black
train/32.jpg,Female,East Asian
train/33.jpg,Male,White
train/34.jpg,Male,Middle Eastern
train/35.jpg,Male,East Asian
train/36.jpg,Female,Middle Eastern
train/37.jpg,Female,Latino_Hispanic
train/38.jpg,Male,Latino_Hispanic
train/39.jpg,Male,Middle Eastern
train/40.jpg,Female,Latino_Hispanic
train/41.jpg,Male,White
train/42.jpg,Female,Black
train/43.jpg,Female,Southeast Asian
train/44.jpg,Male,Latino_Hispanic
train/45.jpg,Male,Indian
train/46.jpg,Female,Indian
train/47.jpg,Male,East Asian
train/48.jpg,Female,Middle Eastern
train/49.jpg,Female,Southeast Asian
train/50.jpg,Female,Black
train/51.jpg,Female,East Asian
train/52.jpg,Male,Latino_Hispanic
train/53.jpg,Male,Southeast Asian
train/54.jpg,Female,East Asian
train/55.jpg,Male,Southeast Asian
train/56.jpg,Male,White
train/57.jpg,Male,Black
train/58.jpg,Female,Latino_Hispanic
train/59.jpg,Female,Latino_Hispanic
train/60.jpg,Female,Latino_Hispanic
train/61.jpg,Male,East Asian
train/62.jpg,Male,Indian
train/63.jpg,Male,Indian
train/64.jpg,Male,Southeast Asian
train/65.jpg,Male,East Asian
train/66.jpg,Male,Latino_Hispanic
train/67.jpg,Female,Latino_Hispanic
train/68.jpg,Male,White
train/69.jpg,Male,Southeast Asian
train/70.jpg,Male,Indian
train/71.jpg,Female,Indian
train/72.jpg,Male,Latino_Hispanic
train/73.jpg,Female,Latino_Hispanic
train/74.jpg,Female,Southeast Asian
train/75.jpg,Male,Indian
train/76.jpg,Male,Southeast Asian
train/77.jpg,Female,Black
train/78.jpg,Female,Middle Eastern
train/79.jpg,Male,Latino_Hispanic
train/80.jpg,Male,White
train/81.jpg,Female,Black
train/82.jpg,Male,Indian
train/83.jpg,Male,White
train/84.jpg,Female,Black
train/85.jpg,Female,White
train/86.jpg,Female,Black
train/87.jpg,Male,Black
train/88.jpg,Female,Southeast Asian
train/89.jpg,Male,Indian
train/90.jpg,Male,Indian
train/91.jpg,Male,Latino_Hispanic
train/92.jpg,Female,East Asian
train/93.jpg,Female,White
train/94.jpg,Female,Latino_Hispanic
train/95.jpg,Male,Black
train/96.jpg,Female,White
train/97.jpg,Female,White
train/98.jpg,Female,East Asian
train/99.jpg,Male,White
train/100.jpg,Female,East Asian
train/101.jpg,Male,Indian
train/102.jpg,Male,White
train/103.jpg,Male,Indian
train/104.jpg,Male,Indian
train/105.jpg,Male,East Asian
train/106.jpg,Male,Black
train/107.jpg,Female,White
train/108.jpg,Female,Indian
